step,loss
1112.0,0.032
1113.0,0.035
1114.0,0.0229
1115.0,0.0356
1116.0,0.0253
1117.0,0.0222
1118.0,0.0256
1119.0,0.0359
1120.0,0.0257
1121.0,0.0264
1122.0,0.0306
1123.0,0.0362
1124.0,0.0337
1125.0,0.0257
1126.0,0.0358
1127.0,0.0267
1128.0,0.0303
1129.0,0.0409
1130.0,0.0306
1131.0,0.0333
1132.0,0.0472
1133.0,0.0415
1134.0,0.0288
1135.0,0.0414
1136.0,0.0254
1137.0,0.0434
1138.0,0.0314
1139.0,0.0358
1140.0,0.0363
1141.0,0.0329
1142.0,0.039
1143.0,0.0304
1144.0,0.0595
1145.0,0.0354
1146.0,0.0426
1147.0,0.0372
1148.0,0.0422
1149.0,0.0341
1150.0,0.0281
1151.0,0.0377
1152.0,0.0306
1153.0,0.0309
1154.0,0.034
1155.0,0.0425
1156.0,0.0405
1157.0,0.0315
1158.0,0.047
1159.0,0.0345
1160.0,0.0386
1161.0,0.0411
1162.0,0.0463
1163.0,0.0285
1164.0,0.0329
1165.0,0.0298
1166.0,0.0392
1167.0,0.0464
1168.0,0.0325
1169.0,0.0454
1170.0,0.044
1171.0,0.0474
1172.0,0.0299
1173.0,0.0467
1174.0,0.029
1175.0,0.0333
1176.0,0.026
1177.0,0.0565
1178.0,0.034
1179.0,0.0384
1180.0,0.0305
1181.0,0.0396
1182.0,0.0278
1183.0,0.0363
1184.0,0.0389
1185.0,0.0322
1186.0,0.052
1187.0,0.0562
1188.0,0.0316
1189.0,0.0359
1190.0,0.0301
1191.0,0.0389
1192.0,0.0662
1193.0,0.0371
1194.0,0.0476
1195.0,0.0505
1196.0,0.0296
1197.0,0.0435
1198.0,0.0303
1199.0,0.0358
1200.0,0.0296
1201.0,0.0584
1202.0,0.0426
1203.0,0.0333
1204.0,0.0357
1205.0,0.0224
1206.0,0.0358
1207.0,0.0388
1208.0,0.05
1209.0,0.0295
1210.0,0.0374
1211.0,0.0371
1212.0,0.0321
1213.0,0.0252
1214.0,0.0355
1215.0,0.0456
1216.0,0.0513
1217.0,0.0311
1218.0,0.0391
1219.0,0.0424
1220.0,0.0336
1221.0,0.0459
1222.0,0.0373
1223.0,0.0477
1224.0,0.0269
1225.0,0.0309
1226.0,0.0371
1227.0,0.0359
1228.0,0.0378
1229.0,0.0328
1230.0,0.0371
1231.0,0.0293
1232.0,0.0473
1233.0,0.0454
1234.0,0.0392
1235.0,0.0346
1236.0,0.0338
1237.0,0.0266
1238.0,0.0391
1239.0,0.0314
1240.0,0.0343
1241.0,0.0354
1242.0,0.0311
1243.0,0.0367
1244.0,0.0376
1245.0,0.0318
1246.0,0.0294
1247.0,0.0418
1248.0,0.0329
1249.0,0.0305
1250.0,0.0444
1251.0,0.039
1252.0,0.0408
1253.0,0.0324
1254.0,0.0324
1255.0,0.0371
1256.0,0.0495
1257.0,0.036
1258.0,0.037
1259.0,0.034
1260.0,0.0316
1261.0,0.03
1262.0,0.0358
1263.0,0.0317
1264.0,0.0292
1265.0,0.0283
1266.0,0.0304
1267.0,0.0254
1268.0,0.0342
1269.0,0.041
1270.0,0.035
1271.0,0.0272
1272.0,0.0319
1273.0,0.0371
1274.0,0.0327
1275.0,0.0439
1276.0,0.0281
1277.0,0.0278
1278.0,0.0404
1279.0,0.0222
1280.0,0.0379
1281.0,0.0292
1282.0,0.0358
1283.0,0.0285
1284.0,0.0284
1285.0,0.0326
1286.0,0.0383
1287.0,0.027
1288.0,0.0347
1289.0,0.0344
1290.0,0.0362
1291.0,0.038
1292.0,0.0298
1293.0,0.0313
1294.0,0.0302
1295.0,0.0393
1296.0,0.0411
1297.0,0.0377
1298.0,0.0341
1299.0,0.045
1300.0,0.0284
1301.0,0.0364
1302.0,0.0386
1303.0,0.0367
1304.0,0.0373
1305.0,0.0258
1306.0,0.0322
1307.0,0.0279
1308.0,0.0336
1309.0,0.0383
1310.0,0.0326
1311.0,0.0371
1312.0,0.0371
1313.0,0.0224
1314.0,0.0315
1315.0,0.0389
1316.0,0.0327
1317.0,0.0319
1318.0,0.0472
1319.0,0.028
1320.0,0.0437
1321.0,0.0371
1322.0,0.039
1323.0,0.0266
1324.0,0.0321
1325.0,0.0247
1326.0,0.0305
1327.0,0.0404
1328.0,0.0319
1329.0,0.034
1330.0,0.0406
1331.0,0.0456
1332.0,0.041
1333.0,0.0286
1334.0,0.038
1335.0,0.0364
1336.0,0.0397
1337.0,0.0286
1338.0,0.0327
1339.0,0.0391
1340.0,0.0323
1341.0,0.0358
1342.0,0.0295
1343.0,0.0311
1344.0,0.0342
1345.0,0.0372
1346.0,0.0322
1347.0,0.0364
1348.0,0.0292
1349.0,0.0391
1350.0,0.0243
1351.0,0.0363
1352.0,0.0314
1353.0,0.0471
1354.0,0.0262
1355.0,0.0339
1356.0,0.0297
1357.0,0.0414
1358.0,0.0325
1359.0,0.0344
1360.0,0.0399
1361.0,0.0347
1362.0,0.0415
1363.0,0.0297
1364.0,0.0282
1365.0,0.0321
1366.0,0.0373
1367.0,0.0333
1368.0,0.0256
1369.0,0.0455
1370.0,0.0321
1371.0,0.0297
1372.0,0.0357
1373.0,0.0256
1374.0,0.0281
1375.0,0.0391
1376.0,0.0366
1377.0,0.0325
1378.0,0.0339
1379.0,0.0305
1380.0,0.0579
1381.0,0.0398
1382.0,0.0486
1383.0,0.0391
1384.0,0.0403
1385.0,0.0429
1386.0,0.033
1387.0,0.0313
1388.0,0.0377
1389.0,0.0445
1390.0,0.0357
1391.0,0.0314
1392.0,0.0315
1393.0,0.0458
1394.0,0.0361
1395.0,0.0366
1396.0,0.0267
1397.0,0.0343
1398.0,0.0335
1399.0,0.0384
1400.0,0.0443
1401.0,0.0353
1402.0,0.0274
1403.0,0.0283
1404.0,0.0331
1405.0,0.028
1406.0,0.0333
1407.0,0.0322
1408.0,0.0429
1409.0,0.0248
1410.0,0.0394
1411.0,0.0259
1412.0,0.0281
1413.0,0.0381
1414.0,0.0334
1415.0,0.0285
1416.0,0.0305
1417.0,0.0242
1418.0,0.0369
1419.0,0.0458
1420.0,0.0356
1421.0,0.0223
1422.0,0.0334
1423.0,0.0339
1424.0,0.0286
1425.0,0.0436
1426.0,0.0387
1427.0,0.032
1428.0,0.031
1429.0,0.0346
1430.0,0.0357
1431.0,0.0391
1432.0,0.0289
1433.0,0.0347
1434.0,0.043
1435.0,0.0389
1436.0,0.0318
1437.0,0.0451
1438.0,0.034
1439.0,0.0357
1440.0,0.0347
1441.0,0.0279
1442.0,0.0418
1443.0,0.0295
1444.0,0.0325
1445.0,0.0373
1446.0,0.0412
1447.0,0.0352
1448.0,0.0284
1449.0,0.0328
1450.0,0.0253
1451.0,0.0387
1452.0,0.037
1453.0,0.0394
1454.0,0.0392
1455.0,0.0299
1456.0,0.039
1457.0,0.0383
1458.0,0.0261
1459.0,0.0433
1460.0,0.0226
1461.0,0.0373
1462.0,0.044
1463.0,0.0326
